Identifiant;CUM360;GAS360;Category;Anonymised PROD_DT;Anonymised COMP_DT;Anonymised SPUD_DT;Anonymised X Coordinate;Anonymised Y Coordinate;Avg(LATERAL_LENGTH) for;Avg(TOTAL_TVD) for;Avg(TOTAL_MD) for;production Days;Avg(ISIP_(Instant_Shut-in_Pressure_psi)) for;Sum(Total_Clean_Volume_Pumped_(bbl)) for;Avg(Frac_Gradient_(psi/ft)) for;Avg(Breakdown_Pressure_(psi)) for;Avg(Final_(Post_Treatment_Shut-in_Pressure_psi)) for;Avg(Pre_Treatment_Shut-in_Pressure_(psi)) for;Avg(Min_ reat_Rate_(bpm)) for;Avg(Max_Treat_Rate_(bpm)) for;Avg(Avg_Treat_Rate_(bpm)) for;Avg(Min_Treat_Pressure_(psi)) for;Avg(Max_Treat_Pressure_(psi)) for;Avg(Avg_Treat_Pressure_(psi)) for;Sum(Proppant_In Formation (lb)) for;Avg(Entered_ Shot_ Total) for;Avg(Shot_ Density_ shots/ft) for;Avg(Stage_ Length_(Calculated Field)) for;Avg(Total_ No_ of Perfs) for;Avg(NO_ of_ STAGES) for;Avg(Vp_PT_PLEASANT) for;Avg(VTOC_UTICA) for;Avg(GIPTOT_(bcf/section)_UTICA) for;Avg(SW) for;Avg(PAYFLAG_(NTG)) for;Avg(YOUNG'S_MODULUS_PT_PLEASANT) for;Avg(POISSON_RATIO_PT_PLEASANT) for;Avg(FRACTURE_TOUGHNESS) for;Avg(GIPTOT_(bcf/section)_PT_PLEASANT) for;Avg(NPHI_PT_PLEASANT) for;Avg(THICKNESS_PT_PLEASANT) for;Avg(MATURITY_PT_ PLEASANT) for;Avg(UPLIFT_MAGNITUDE_ PT_PLEASANT) for;Avg(MAX_DEPTH_BURIAL_PT_PLEASANT) for;Avg(TEMP_ANAMOLY_PT_PLEASANT) for;Avg(TEMP_PT_PLEASANT) for;Avg(VS_PT_PLEASANT) for;Avg(MHS_PT_PLEASANT_(Min_Horz_Stress)) for;Avg(RESISTIVITY_PT_PLEASANT) for;Avg(GR_PT_PLEASANT) for;Avg(VCLAY_UTICA) for;Avg(VTOC_PT_PLEASANT) for;Avg(VCARB_PT_PLEASANT) for;Avg(VCLAY_PT_PLEASANT) for;Avg(POROSITY FROM DENSITY LOGS) for;Surf X             SP OH-N 27;Surf Y             SP OH-N 27;Proppant per foot;Clusters;Cluster spacing
1;0,545383698;0,357361252;6H;14711;14711;14372;0,190251849;0,375208211;0,943999692;0,894379791;0,90623458;-0,752246367;0,552303245;5,422579907;0,510347396;0,663632175;0,813910533;0,71767923;0,33330765;-0,335870805;0,001116268;0,287855683;0,395880851;0,47061863;4,420412296;0,067969042;-0,939005172;-0,314285002;1,153510876;1,335692059;0,670604775;-0,781986499;0,05772679;-0,345219463;-0,226693113;-0,824808814;0,144005322;-0,184476027;-0,059080268;0,065910087;0,079721463;0,798991056;-1,294405447;-0,508500631;0,418409527;0,840686264;0,670604775;-0,214464434;0,492055076;-0,246001412;0,254307175;1,260133284;-0,690716219;-0,559150088;1,463043752;0,409264148;-0,423406217;4,740608783;-0,693906603;-0,249644221
2;0,050590121;0,304269128;1H;15000;15000;14835;1,778538271;-0,448721977;3,170407866;-0,621272549;2,776776569;-2,131450239;0,829711245;0,548390054;1,271702512;-0,760720198;2,165680864;1,393758527;-1,53388933;-1,253740031;-1,106903475;0,444529005;0,828780667;-0,129096961;2,751129956;-0,782282835;0,903567949;-0,328905084;3,121656437;2,809941386;-1,339867612;0,807280149;0,928739864;3,174682438;-1,806245775;-0,076688733;1,503111133;-2,200747017;-0,743096419;-0,148185118;1,652169795;-1,6832988;0,790580181;-0,015432488;-3,289187211;-2,7022595;-1,339867612;1,16633382;0,939310198;0,147388899;-1,630984354;1,206727986;1,665417387;-0,453893404;-1,016376867;0,507202376;1,516925653;0,25000683;-0,693906603;-0,263380249
3;1,317935413;1,051164884;6H;14220;14220;13964;-0,394874095;0,494389975;1,021235571;1,062785607;1,51220598;0,37747694;0,348176477;3,420062531;0,288745299;-0,306400281;-0,168471306;-0,108952808;0,676096307;0,682378485;0,971649906;0,24950538;0,26788875;-0,160235506;0,692632038;-0,782282835;-0,939005172;-0,311957724;1,153510876;1,335692059;0,71066411;-0,166410896;-1,204103034;-0,543480835;0,860237974;-0,480273105;1,503111133;-0,335109498;2,035926362;-1,170114506;-0,545808314;0,958633375;0,236972416;1,069130311;0,552903095;0,912288619;0,71066411;-1,001094451;0,225101848;-0,50308966;0,150002948;-0,715103249;0,056000442;-0,679047044;0,895983563;0,082220422;-0,916573173;-0,155441435;-0,693906603;-0,24745767
4;0,301825426;0,138624231;6H;13979;13979;13712;-0,408857765;0,038586443;2,455136461;0,594991675;3,312076366;-0,272113962;0,198968916;3,472785653;0,079174629;-1,225902569;0,476969512;0,330450692;-0,16111559;-3,959058814;-2,926500052;-0,528935983;-3,271548233;-2,064804726;2,167019737;0,174250527;-0,900618232;-0,322458182;2,400003065;2,318524944;0,681001126;-0,042510888;-0,569164297;0,25286901;0,036063501;-0,484222582;0,653670001;-0,455754191;0,889049117;-1,37969684;-0,50593182;0,790733694;0,44770802;0,864770315;-0,628697384;-0,154414581;0,681001126;-1,156480935;0,012524949;-0,104826346;0,714214472;0,3665739;1,08966023;0,090205872;0,037773485;-0,251041605;-0,637790862;0,245247294;-0,72400457;-0,255445276
5;0,735807162;0,528369487;6H;12481;12481;12218;-0,528281595;0,48585189;2,968922963;1,197510259;3,477477989;0,109167655;1,165424539;2,364712728;1,111257397;0,269210318;1,180472743;1,434404342;0,180384389;-0,49898841;-0,291965672;0,842824852;0,80550351;0,995578104;2,117284232;0,91822092;-0,939005172;-0,312345604;2,465607917;2,318524944;0,719629771;0,173333016;-1,755617944;0,005042294;1,031600983;-0,355544135;1,503111133;-0,293281568;2,653284416;-1,690531427;-0,702882799;1,006342574;0,467859452;1,314791398;0,75441104;1,027206824;0,719629771;-1,164505018;-0,505991129;-0,509842356;0,244882999;-1,69042284;0,257937166;-0,57397975;0,538590622;0,003471479;-1,028739299;-0,247936656;-0,693906603;-0,247822095
6;-0,773839725;-0,827402185;5H;14583;14583;14374;0,844495708;-1,173184053;-0,056708658;-1,878702638;-1,186847774;-1,373594187;0,403331942;3,876897668;0,903950569;-0,484002814;0,348037999;0,82553631;-0,042986666;-0,912961119;-0,285959895;-0,142776347;-2,546724054;-1,092072426;5,003028064;-0,782282835;0,903567949;-0,423999547;5,089801998;4,284190713;-0,691448392;0,995361913;-0,014960741;2,549396572;-1,979491894;0,385717214;1,503111133;-1,851430107;-0,313390353;-0,566287355;1,05906161;-1,689915276;0,616548577;-0,719300227;-1,062440302;-1,657273025;-0,691448392;0,004151543;-0,96528271;0,045153943;-0,961017287;0,640046204;2,428982896;-0,162442323;-0,256571802;-0,508080873;1,347866195;7,315339899;-0,693906603;-0,352724504
7;1,884263892;1,559775202;0H;14218;14220;13953;1,102804284;0,657748518;0,122948713;1,365916074;0,949840462;0,890559609;0,993400325;1,716359092;0,838394507;0,317020707;0,541830341;0,275681023;0,151486735;-0,011433035;0,147002062;0,278347689;0,105674705;0,457322151;1,654731417;-0,782282835;-0,939005172;-0,115408499;0,759881764;-0,875681931;1,155556845;0,4271471;1,649673717;-1,019308129;0,174785937;-0,23027679;-2,574206301;-3,421895075;0,7925017;-1,063303656;0,546751866;0,641850967;-0,227773181;0,723790446;0,347483328;0,92288439;1,155556845;-0,236501987;-0,648447691;-0,461407552;-0,161865255;0,66951342;2,543876741;-1,565078992;0,679590338;1,278805986;0,050214564;2,201156316;1,867156728;-0,236219194
8;-0,930087239;-0,967727628;0H;14023;14023;13711;-1,93896101;-0,153308198;-0,902945249;0,22449888;-1,120687125;-0,98760539;0,532119309;-0,35514969;0,739885655;0,556936991;0,692313112;1,054942795;0,346838781;0,242455248;0,608900947;0,592826237;0,220520887;-0,056597763;-0,677263381;0,067969042;-0,939005172;-0,314285002;-0,158586165;0,352859175;1,415422273;-0,907288091;-1,078857551;1,087218951;-0,718749754;0,811763631;-1,215100489;0,119845921;-0,238105817;0,40057336;-2,060871959;0,522369451;-0,496449665;-0,291498197;-0,007329897;0,046534455;1,415422273;-1,006707648;0,357435935;-0,809511452;1,289520991;0,664080587;-0,601961879;-0,131093906;0,353626256;-1,412503489;-1,506673203;0,045252338;-0,693906603;-0,249644221
9;0,093951986;0,345523951;6H;13066;13030;12782;1,513981352;-0,705838881;5,853515152;-0,486547896;4,943537827;-2,126743059;1,098091056;10,42573067;1,594549389;-1,458410232;2,596343473;1,811932721;-1,223969071;-1,356944643;-0,978340239;0,073054563;0,024128514;-0,284933532;13,80651622;-0,767099766;0,920019495;-0,426216003;12,96238424;10,18118802;-1,373913331;1,744708678;1,08497133;-1,373346294;2,475946347;0,582238902;0,144005322;2,443042632;-0,587046297;0,321032062;1,428254517;-0,671998886;1,599892202;1,240448673;-0,467905375;-0,52836081;-1,373913331;0,726936973;-1,829668384;-0,082958161;-0,816717973;-2,038163552;-1,812693658;0,657094844;-0,617634183;0,573271816;1,172249793;7,719261489;-0,693906603;-0,354806934
10;-0,289312631;-0,377479295;3H;14664;14664;14464;-0,522423105;-0,235718157;-0,308564786;-0,183417428;-0,765825461;-1,820776329;0,260825513;1,273055698;0,439735892;-0,736850218;0,542749166;0,959977318;12,04267609;1,058043272;0,060373272;-1,737731822;-0,762040194;-0,035533181;2,265004974;-0,746855673;0,941954889;-0,384103349;2,465607917;2,318524944;-0,554161712;-0,101377408;0,104539034;-0,160175516;-0,265861801;0,560296968;-1,215100489;0,359194856;-0,821488462;1,729042244;-0,393522001;0,276942322;-0,076904859;-0,49295287;-0,111302697;-0,366544355;-0,554161712;-0,527160601;0,579713109;2,054481748;-0,060557923;0,126663123;0,033858373;0,669936857;-0,842804377;-0,770269671;-0,241930949;3,745748413;-0,693906603;-0,315240764
